"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47"
"Rab29",0,0,0,0,0,0,0,0,0,0,0,148,165.9996,0,206.9997,0,0,0,1,0,0,0,0,14,0,0,0,169.9198,0,0,0,0,0,0,22.9081,0,0,0,289.863,0,0,0,25,0,0,0,0
"Rab2a",131,145,1177,236,124,3,110,422,92,2,2,193,623,407,111,3,2,251,29,649,958,100,3,330,128,151,0,1,283,54,1243,233,158,15,951,82,65,515,75,44,336,130,790,563,78,463,21
"Rab2b",91.58885,0,0,1.813839,0,0,0,0,0,0,36,0,0,131.599,0,0,1.43316,558.947,56.4509,0,0,20.516,1.00015,0,0,0,0,2.04237,6.9906,0,0,0,1,0,1.23249,0,15.1318,1.38506150995,0,2.12961,0,1,0,0,0,282.027,0
"Rab30",122,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,81.00003,1,0,0,170.0001136,0,262.999500427,79,0,0,0,0,1,0,1,0,0,17.999958,0,0,65,0,98,0,2,0,0,0,1,0
"Rab31",1811,121,3,5,5,1,6922,2,2914,2,6,2142,157,1199,182,3,2,3,3,1,15,1333,1,1,0,407,1,2,0,634,1,5,3,5,3802,3,1,649,3,0,17,0,3,503,1,1969,0
"Rab32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Rab33a",0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,1,0,0,0
"Rab33b",527.979,103.321,6.6903,1.58247,9.22873,5.68658,119.196,81.2799,143.864,0,9.2141,14.93646,4.59605,2005.54,32.9946,22.8197,71.1249,954.249,319.982,14.8738,297.16,270.829,0,0,214.883,23.2622,21.509,79.989,6.23501,6.95517,121.706,2.28093,40.9056,4.40063,7.56929,5.57301,71.04789,37.0093,21.9353,14.5001,38.4796,4.50698,0,1185.02,23.103,13.8645,13.6841
"Rab34",0,0,0,10,0,9,4,0,2,0,1143.2,32.9999882,8,212.75425,1,0,0,5,15,1,13.59075,10,0,0,0,0,4,0,109,4,7,0,0,0,7,0,9,1,0,0,1,0,5,1,4,26.99995,0
"Rab35",404,0,0,0,1,6,42.0342,1.44296,0,0,0,0,0,0,0,1.43383,0,12,0,0,0,4,3,127,347,73,0,0,3,414,4,150,4,0,16,0,1,1.43014,3,17,6,0,38,0,0,0,58
"Rab36",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,3,0,14,0
"Rab37",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rab38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rab39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rab39b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rab3a",413,0,0,2050.0009,0,1.9999956982,0,0,0,73.99996001,1.9999971999,2.999998462,0,0,1.0000002951,1,1.000000267,0,0,1.0000004743,13,0,217.00008116647,36,0,0,2,0,0,30.00000905,5.9999990026,0,1.0000003558,0,285.00044,0,0,0,0,1.0000004582,23.99996113,2.0000045876,2,67.0000014082,0,0,0
"Rab3b",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rab3c",21.0806,14.2437,1.13526,5.71425,0,0,25.4307,0,79.5678,0,68.4793,6.40361,0,8.14329,0,5.61887,1.10646,1.00947,9.23572,2.25625,32.6374,3.45872,0,1.01262,0,9.13547,0,0,1.4331,3.28298,0,0,2.10484,1.02667,6.12925,2.55301,22.7563,71.985,1.26624,84.8546,0,9.54764,0,2.01639,5.39645,30.5709,1.12728
"Rab3d",0,14.808100697,1870.940117355,1.000000280016,1.00000023529,5.99999787129,207.143000332038,1,22.0151025658,22.0000291036,0,13.0285121275,7.00000233918,0,92.1725,20.1244122993,13.6611164045,20.000000184612,14.06950569982,14.03040440246,32.0650208072,28.087265291,0,10.0176,20.000000208946,31.871800850252,0.999999961638,61.7480205129,5.00510233507,7.00390123988,0,2.00000248526,1.002330811042,6.00000326819,45.0864395125,6.0541444173,48.2108245796,103.4750717394,2.00000269533,3.000760340356,16.1081209514,28.0818185594,2.0000000752949,10.00000433421,39.0206,37.1726285003,0
"Rab3gap1",369.695,7.24556,3,1.16401,0,0,13.0832,32,0,77,1.20499,338,0,511.932,172.352,658.657,56.9603,1,230.815,881.799,10,7.20315,5.02882,285.464,199,56.2672,8,8.36588,87.9661,363.087,1.15475,39.2821,55,0,213.87,171.876,21.6149,2.3214,129.495,801.777,1,108.199,1.1481,81,267.376,1,0
"Rab3gap2",122.939,1.12355,0,0,0,13.1738,6.62241,0,0,16.3706,0,0,0,0,1.57779,6.52489,0,0,4.37347,0,0,1.24342,0,3,2,0,0,0,38,0,0,3625.99694,0,3,174.433,3.38449,18.28,36,15,2.20841,0,0,12.2124,0,3.176029,0,0
"Rab3il1",0,0,0,1,1,0,490,2,0,0,3,185,84,0,0,0,0,0,3,0,0,3,0,0,1,0,1,12,0,2,3,0,0,0,248,0,107,16,0,0,0,0,491.9998,1,2,5,0
"Rab3ip",8.04307,1.00693,11.008,20.0529,182,1,0,113.077,0,6,0,137,1,0,1.00139,185.185,0,1826,1,3,22,1.00145,13,2,81,362,4,0,4,6,1,3,3.02138,9,242,0,87,1.00084,91,292,174,29.0285,2,326,311.122,0,270
"Rab40b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rab40c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.3238299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rab42",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rab43",396.669,172,0,0,0,1,0,1,0,0,0,445,0,36,1,15,1,1,0,0,0,19,0,0,0,1,0,5,0,0,1,2,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0
"Rab44",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rab4a",0,0,150,0,0,0,0,0,164,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,2,78,1,0,0,1,0,1,0,1,0,0,547,2,88,0,0,0,0,0,0,0,0
"Rab4b",0,4.2855,75.6062,0,4.08285,0,29,0,296.452,0,0,0,109,0,67.0973,151.493,0,0,0,0,0,0,0,0,186.41,0,0,795,0,0,3,0,0,0,0,0,0,0,59,32,0,0,36,0,0,32.5359,457
"Rab5a",4,59.502,4,642.973,4,9,47.5571,76.8921,118.146,0,92.5766,67,487,0.13962,14,249,0,0,0,85.8912,0,170.802,0,48,22.5288,0,38,2,275.827,1,4,63,9,5,0,14,1,56,2,3,3,1,1,655.493,1,2,149.285
"Rab5b",1,207,157,0,0,0,38,73,448,0,3,10,0,0,0,1.1926,1,1,23,7,56,31,0,9,2,1,6,0,177,58,0,0,1,1,8.31594,0,6,0,20.3357,0,27,12,1078,16,268,0,1
"Rab5c",0,78,62,0,0,1,26,0,324,152,0,9,27,500.9995,129,20,0,236.99967,60,28,64,15,0,3,1,339.0003,0,17,0,1,0,71,1,110.99959,0,0,1,6,12,5,8,1,0,107,8,12,0
"Rab6a",60,5,7,886,57,1,263,816,452.54507,0,556,314.000000111193,230.00039,128,301.9155,315.725,0,752,34,35,74,18,452,250,48,123,4,577,7.18707,567,552,59,23,189,171,164,330.0003,63,307,0,238,1,18,802,16,28.00005,115
"Rab6b",0,0,2,0,0,0,0,0,105,2,1,0,0,0,0,0,0,1653,1.00348,0,1,7.13434,2,0,1,0,1,0,0,0,398,1,3,0,0,1.00287,0,0,1.03128,0,0,5,0,0,0,1,0
"Rab7",1868.383,878.1877,447.96,20.74617,23.0434,43.00963,765.3943,383.0697,606.9499,117.80567,24.32297,705.3005,2232.23100465268,468.991,97.2369,204.2123,27.34058,1687.07659,520.2504,37.1585,1056.865,314.2128,92.51279,266.0773,234.6026720882,757.795,23.00001,281.93089,530.1653,491.8622,13.59405,14.90869,82.216979,34.0189,1594.6441,480.31878,638.4319,358.85768299,2595.6297,598.10717,136.8416,178.78057,2012.3587,719.4514,68.255314,614.4268,1609.0146
"Rab7b",1,679,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,2,0,0,0
"Rab8a",148.333,24.7841,205.752,93.0564,1.16319,4.45685,452.756,2.39443,14.276,3.99069,0,113.854,17.8672,15.4274,134.398,107.469,2.08508,130.583,3.7874,50.103,341.603,55.8064,0,9.21238,296.621,65.8736,4.2174,17.2865,6.10226,316.975,1.03266,2.31031,6.62174,2.33793,105.469,0,4.67972,53.3727,306.908,7.46068,12.871,16.0752,0,0,11.423,108.552,0
"Rab8b",429.401,1210.74,1.00079,1.02416,7.13044,6.24772,4.01309,47.0879,37.6279,424.645,1.00162,46.0973,504.907,71.1121,53.1208,24.2368,109.384,1.00335,2.07018,235.296,50.0366,154.451,10.0028,29.1716,16.0601,0,8.006,973.884,0,0,22.286,514.5,10.5214,6.0079,1.01723,674.198,17.9962,10.4358,14.0198,265.245,37.5352,8.14908,60.4333,22.68,14.1123,638.937,28.4752
"Rab9",1,4,0,891,0,2,262.908,0,72,0,100.99995,182,2,601,187.868,1,0,0,1,0,252,1,0,3,64.00002,20,0,142.9998,455,49,2,2,0,0,77.99998,2,20,91.00005,0,252,0,1,0,220,2,194,1
"Rab9b",0,2.0958,0,0,0,0,4.02275,1.12975,0,0,13.4658,3.03675,0,1.00434,3.4073,0,0,0,0,1.00868,10.0454,15.468,0,3.48362,22.6326,1.00357,0,0,9.83416,11.2431,12.1518,0,2.87531,0,1.86616,0,1.31773,7.39487,6.58922,8.07067,22.5867,3.9017,2.45846,0,6.72934,16.7536,0
"Rabac1",388,575,20,0,1,2,322,455,69,1,0,51,154,774,179,443,60,58,275,8,146,74,125,265,295,322,7,89,67,348,4,1049,5,331,686,652,45,6,2,170,21,68,544,289,329,306,574
"Rabep1",3.9999986,36,0,3,0,1.999996,0,0,1.9999967,3,1,4,0,567,46,1,242,378.0004,13.000005,8,19.00002,0.9999998,0,12,1,59.999976,0,6,78.99995,9,26,0.9999996,2,0,159.00027,7,53,0,130.99972,191,5.000004,149.00036,1.00000021,17,0,133,0
"Rabep2",0,0,0,0,0,0,0,0,0,26.7333000208946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"Rabepk",144.249,183,0.456188,23,1,2,5.477875,2,537.529,1.0412,2.16617,2.03739,2,225.806,218.6,101.266,1.10805,263.00046,2.252349,2,2.10042,8.22638,0,20,0,30.9315000552632,13,1.26044,3,0,7.00308,3,0,0,401.668000573018,25.12586,127.8783,188.4352,22.8232,174.732,8.97176,2.05286,0,198.451,0,1057.76,3.75246
"Rabgap1",5,81.40643,112,1,0,9.14595,393.0001,1,116,19.99998,0,111,34.00001,1380.6939,381.841600829874,325.0759,4,192.6075,170.98523,0,224.588646917,130.781047,1,60,18,37.91581,2.51839,737,39,13,1,604,12,6,185.551,14.2194,415.3348,13.4719,5,577.6235,100,1,2,179,44.103284,2.000002,0
"Rabgap1l",3,0,1,266.6783,0,12.517618,0,347,1,0,1,135,0,0,2.999996,2,0,0,281.00039,3.55793,171.2894,172.7189,2,682.7321,258.000223,118.216989,81.53338,0,138.42664,113,2,67.000000066,191.687,5,312.99995,22.00002,1,5,6.000004,7.69858,7,73,1730.1671,449.524,534.99984,49,450.0001
"Rabgef1",117,498.3511,0,1,8,0,350.821,41.7867,105,0,0,1,86.8902,108.896,62,115.845,0,60.3715,0,0,32.99996,60,1,1,1,10,0,488.69909,0,4,54,0,2,0,206,97.8941,2,246.87,0,0,0,0,0,0,152.277,34.636,80.912
"Rabggta",134.11445,69.5283,0,3.01707,0,5.06357,9.47908,0,0,1.02204,231.55,6.25171,0,1.5212,15.4028,92.0043,1,0,4.06809,0,5.75973,15.9109,0,18.3806,0,6.57594,1.00089,0,0,77.3039,51.4097,7.73144,3.00158,1.00148,130.0972,6.17642,24.82944,4.30891,3.2573,2.05047,0,6.8993,0,69,0,8.37603,0
"Rabggtb",580,11,1,219,163,3,716.9998,621,240,1,2,4,512,363,15,0,3,283,5,804.0004,669,13,1,453,431,31,2,1,2,121,1,2,1,1,304,306,304,64,1,1284,105,148,45,1,70,0,39
"Rabif",633,1,0,2,37,1,619,0,43,0,0,956,949,1,2,3,0,833,0,0,0,24,1,1,0,1,0,2,17,11,0,1,0,0,0,7,497,0,252,13,2,1,0,119,2,18,2
"Rabl2",20.202934,0,0,0,0,0,0,0,0,0,102.99995,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Rabl3",0,0,205.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.3487,86.3647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.9978,12.0397,0,0,5.05506,0,0,0,52.8669,0,0
"Rabl6",0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,5.88227,0,4.86758,0,1.56308,8.82686,0,0,26,0,28,0,0,0,0,0,0,0,0,0,64,0,0,0,75,4,0,0,0,0,0,91.0278
"Rac1",582.00034,39.999975,480.00032,2.0000043,89.000023,7.0000028,166.999861,472.00024,186.000255,128.99952,710.89393,596,1082.0039,1918,1036.31,1072,2.0000028,1705,185,360.462,405.999789969,566,4.9999977,167,220.92,9.000005,10.999996,710,63.000012,40.000026,20,11.000025,10,1.25206051,347.999938,161.9996,154.00046,71.00004,1487,14.9999831,178,369.00046,69.2858,483.00038594,9.0000031,133.00004,140.000357
"Rac2",16.2033,1510.33,12.2332,9.21205,3.61429,0,2.27316,504.656,5.10864,0,3.70743,0,1.04823,1.91536,7.4999,25.4673,1.07746,18.8524,1.14295,0,1.13987,19.7583,1,2.40589,1.3317,2.33052,1.10966,1729.4,5.79829,1.1166,4.90901,3.00594,5.87502,0,16.2722,13.2168,0,17.4356,7.03749,3.10804,27.8702,8.9407,0,49.5113,3.34209,16.9614,1.1193
"Rac3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Racgap1",2.26084,5.17939,1.08486,2017.2664,22.509554,3.07506,450.0687,4.26628,4.39449,0,1,4.33742,10.4946,0,78.79393716,11.7703,6.51759,4.25196,5.23367,354.6849,77.464300356192,291.02802,0,1.07984,0,23.4789,15.1137,1,2.16521,4.72881,2,0,1,0,3.076167,2.2143,9.91768,288.18232,51.78197,92.9089,14.4996,2.07827,4.15574,5.30618,7.30576,78.6728137439,664.11668357
"Rack1",7712.83,2513.08,3129.33,7.54841,110.169,15.0614,3789.39,1377.73,2865.73,9.89902,30.1007,1680.44,2878.06,37.2865,3339.27,1263.32,21.4543,2789.07,748.337,2042.56,1069.45,1887.93,195.88,406.644,369.198,199.693,26.0417,1960.24,417.466,808.231,87.2634,5.49798,6.23812,550.433,4508.82,893.965,1880.29,1188.58,3167.33,483.12,578.591,644.25,1001.75,2290.29,2831.29,1026.22,2801.09
"Rad1",297.938,11.6764,28.2757,0,0,5.44736,4.46863,0,12.5934,0,0,3,7.63278,0,20.3953,0,0,31.4656,7.472,0,27.4281,34.1051,0,16.2854,3.71887,1.35654,5.09225,5.23165,17.7662,11.78826,153.385,11.4195,14.9457,1,8.40639,0,74.7904,71.9003,0,32.0418,11.2783,5.60004,0,66.2406,1,14.9544,0
"Rad17",1,5,1,0,0,1,0,30,0,1,0,0,1,0,93.1349,0,0,1,0,0,0,20,0,0,0,69,0,0,9,53,0,2,7,0,0,0,118,32.1212,1,1,3,297,0,0,447,43.1167,79
"Rad18",0,1,0,0,0,0,319.353,0,1,1,1,0,278,2,63.3862,0,0,0,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,1,19.79358,0,0,0,76.143178,0,0,0,1,0,1,8.85382,0
"Rad21",6,4,1,895,37,3,1129,5,714,75,948,30,23,1760,590,2,2,630,7,1219,1122,193,10,60,248,83,12,199,86,4,4,1,8,212,26,131,159,615,902,533,281,66,4,5,1,664,1803
"Rad21l",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rad23a",224.1903,496.2423,2,0,179,2.8986,0,97.9826,1,0,0,2.74761,159.9998,866.00027,205.40489,157.9979,1,259.9996,0,0,18.124011,120.12464,0,21.544,131,156.29856,1,1.62151,0,388.0779129,0,67.1957,0,0,75.6979308,49,42.1734,347,55,294.26,7,163.9997,7.46771,149.99957,3.08085,1,179
"Rad23b",2,0,42,0,7,0,2,12,28.3151,46,0,12.858,22,20,20.1256,23,12,9,21,2.77146,20,5.03513,1,12,123.991,16.5666,0,80,0,74,808,292.976,78,6,6,255,2.36354,0,30,13.2068,50.8419,44,11,72,0,1,15
"Rad50",64,67.9756,0,0,0,0,19,25,0,0,0,127,96,3,75,12.6631,0,287,41,19.2425,103,34.00001,0,0,0,26,0,1,0,19,13,0,0,0,93.9214,0,45.7347,1,0,0,1,0,0,116.598,0,355.9995,0
"Rad51",129.4157,0,0,0,0,0,3.55359,12,5.74864,0,0,0.015351,0,0,102.43396,0,0,0,16.2907,134,8.16423,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,169.7444,1460.422,0,2.87577,0,0,0,0,497.1268,0
"Rad51ap1",1,0,0,1.999996,0,0,738,50.99995,0,0,0,0,0,2.000002,162.10392,310.000000018601,0,1,0,0,343.0535718329,325.03044288,0,0,28.1365,0,0,0,1,1,0,2.000001,0,0,0,0,0,1,557.9998,0,0,0,0,0,0,171.597,0
"Rad51ap2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rad51b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.00002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.00005,0
"Rad51c",2.17242,0,7.28293,1.05546,0,0,0,0,0,0,1.15372,0,0,1.80588,2.70612,16.0619,0,0,2.19369,0,1,7.78017,0,6.25924,0,0,0,0,11.4692,6.56738,1.13356,0,12.4852,2.16885,0,4.82542,39.7403,0,0,55.8683,7.50377,6.92012,0,5.67282,1.08125,4.27753,0
"Rad51d",0,0,0,0,0,0,0,0,0,0,0,1,0,0,151,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,79.9098,0,0,0,0,11,114,1,0,0,1,0
"Rad52",0,0,0,0,0,0,0,0,0,0,0,0,870,0,0,0,0,0,0,0,0,0,0,0,0,68.8888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.8566,0
"Rad54b",0,0,0,0,0,0,24.2036,0,0,0,0,0,0,0,0,0,0,1,1.00003,699.897,24.3748,121.8915,0,1.00589,3.56822,0,0,0,0,50.86197,12,0,0,0,1.00631,4,1.10791,0,0,0,0,0,0,0,0,72.02534,0
"Rad54l",7.06908,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.00579,0,0,0,7,104,1,0,2,0,1,0,0,0,163.159,1.32029,0,0,0,0,0,0,0,0,46,0,0
"Rad54l2",429.128,0,0,1.00036,0,0,0,1.0006,0,0,0,0,0,1.05522,35.0234,68,0,42.0039,0,144.227,0,3.00097,0,67.7509,0,0,0,4.01356,0,0,11.0034,0,1.00179,0,0,0,0,273.787,0,0,0,0,0,0,0,1,22.05424
"Rad9a",0,0,1.61789,1.09047,1.54281,0,0,1.02565,0,0,0.985596,0.51618,0.540863,0,85.7758,0,0,91.5,0,0,59.5001,0,0,1.57433,0.519259,0.552157,0,0,0,2.09879,0,0,1.51739,0,1.55574,0,0,9.34614,1.0291,1.02869,0.614189,1.1072,0,147.108,0,142.488,4.71049
"Rad9b",1,218.46842,0,0,5.08373,0,1.00183,0,0,0,0,1.00407,313,0,0,56.00555,2.00884,0.0454108,0,0,0,2.00592,77.0012,1.00264,118.057,0,120.208,0,88.3951,45,0,0,7,0,0,1.00086,12.2254,0,0,92.0727,37.3359,4.09778,0,112.2,0,0,17.7838
"Radil",0,0,0,0,0,0,0,0,0,0,0,4.999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rae1",16,0,159,0,1.29514,0,60,2,0,0,0,26,243,0,32.5461,0,34,30,6,0,33,0,56,82,0,113,4,256,4,1,308.263,6.89998,4,0,65,0,9,0,8,29,13,1,0,214,146,0,127
"Raet1d",137.834,0,0,0,0,0,31.0339,0,0,0,0,0,0,0,0,0,0,0,0,0,18.485,36.1357,0,0,0,0,0,0,0,0,0,2,0,0,74.2421,0,0,0,0,0,0,0,0,0,0,176.66,0
"Raet1e",239.166,0,0,1,0,1,57.9661,1,0,0,1,0,0,0,0,1,0,0,0,0,28.515,63.8643,0,0,0,0,0,0,0,2.58163,0,0,0,0,103.758,0,0,0,0,0,0,0,0,0,0,274.3405,0
"Raf1",0,0,0,0,3.95632,0,0,0,33,23,2,14,1.60921,66,0,5.99787,7.95442,0,67,0,216.32,0,2,0.00268805,17,1,0,2,56,0,0,111.33,40,0,586,2,45,7.036777,1,0,45,398.0001,1,401.996,0,0,1
"Rag1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rag2",1,0,0,0,0,0,0,0,0,5,0,0,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8.46156,0,0,0,0
"Rai1",0,135.99952,0,0,0,0,0,0,0,1.33129,3.97875,0,27.7417,2,0,0,386,212.094,209,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,14.5331,0,0,5.29072,0,0,2,17.1998,0,0,0,64,0
"Rai14",465,0,0,0,0,2,29.0000000353398,0,615.000000372481,0,0,269.00000267117,29.000000115845,1,341.00000439388,0,24.000000318478,0,0,0,0,7.000000232339,1.0000000250222,38,1,0,2.0000000196142,4.0000000102521,0,0,1179.00000051894,0,4.0000000312493,0,28.000000257008,0,64.000000282988,0,91.00000143858,0,89.0000013296,0,1,3.0000000107233,0,179,1
"Rai2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17.0000000191153,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0000000170989,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rala",8,1,0,211,2,2,262,1,0,0,2,3,100,1,332,0,2,0,32,397,0,1,38,361,12,1,1,2,0,4,2,1,51,19,154,8,28,1,239,195,23,0,88,100,7,0,0
"Ralb",354.743,7,125,4,443,12,80.99999,305,511.863,72,14,1016,1161.97,739.971,2394.88,481,26,2968.97,6,2191.99,276,728.519,15,520,339.77,20,9,394,778.857,1,361,21,8,7,273.673,543.963,881,758,1211.51,626,348,279.973,1745,427,210,533.912,2
"Ralbp1",352.0004,156,544,91,5,305,273.0005,0,50,1,4,34,0,210,28,79,7,634,0,1,319,2,6,4,1,89,8,1171,44,5,15,4,21,2,6,5,31,6,22,22,12,2,0,20,4,199,0
"Ralgapa1",1.999999,13,1280.00351419,1,1,1,0,24,457,333,75,3,925,6,107,105,19.00002,207.9996,415.0001,1.999999,454,201.9998,0,120,202.9996,15,5,2.000004,22.00004,32,0,1,539,1,9,147,665,69,150,901,214.0004,21.00001,0,531.000147292,16,3,1
"Ralgapa2",1.00508,4.46279,21.1477,0,0,2.31922,50.8713,1.67621,14.5337,11.99917,0,2.980646,1,1.28678546807,9.86197,4.70471,23.47415,13.1128,0,5.02941,5.61006,81.7954,4.930749,65.7873,1.67409,118.865,0,2.00575,0,1.54576,18.6262,16.9027,1.59421,1.00147,12.4135,0,34.9022,8.73803,1226.95,6.7179,40.309,0,11.0746,53.4253,175.879,6.5699,4.26442
"Ralgapb",1,2,94,0,1,0,476.0001589,204.203,1,12,0,0,0,0,2,0,1,0,0,0,0,19.000005,0,0,0,0,0,0,122,63,46,1,1,38,2,0,51,1.23369,0,0,84,0,1,0,318,3.698046,0
"Ralgds",1,50,44.63389,0,0,1,380.999811,0,0,0,0,94.8405738,15,0,431.0001,358.403,3,0,0,1,0,29.5559,0,60,0,0,0,1.1866,29,48,2.44374,1,11.99998,3,1,1,0,0,0,1,21,0,0,371.84619,0,0,0
"Ralgps1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ralgps2",0,6.390785258,1,0,41.36530804,2.000132768,11.4894,224.54324,78.08514,8,0,3.25889676,1.05561,106.496,13.705807377,9.85162061,225.276811013,14,13.0078,2.542093463,10.34140347,49.65987,0,27.0846605103,0,4.249913219,0,8.606575,54.13437,24.94126,1.18338,1,4.72937082,1,29.0385,6.47861,27.12686,71.9542,26.8143,112.36502,13.69919,0,3.44703,289.505711418,21.7894209,22.59566,0
"Raly",86,74.99999,1,1,0,0,376.0603,0,0,0,0,1.0000000147474,0,0,118.83,25,0,0,55.7883,1,0,0,0,0,0,0,1,8,31.00006,27.999992,0,0,0,0,0,0,0,2.38842,0,0,0,0,0,91.000008,0,1.42388,0
"Ralyl",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ramp1",6,5,5,785,1.999996,1,2.000002,1,43,2,0,1,0,0,0,1,0,1,11,2,141,0,1,443.0004,0,306.9998,41,352,203,235.0002,0,501.99986,2,1,39,32,47.00003,0,0,198.99952,224,64,1,500,312,0,544.00018
